X1,Y1,X2,Y2
32516.67,53483.33,32483.33,53516.67
32516.67,54533.33,32500,54416.67
32516.67,54583.33,32516.67,54533.33
32516.67,54683.33,32383.33,54666.67
32516.67,57750,32416.67,57583.33
32516.67,57750,32483.33,57750
32533.33,54566.67,32516.67,54583.33
32533.33,57133.33,32416.67,57383.33
32566.67,53416.67,32516.67,53483.33
32566.67,56883.33,32400,56900
32566.67,57366.67,32416.67,57383.33
32566.67,57483.33,32383.33,57600
32566.67,57483.33,32566.67,57366.67
32583.33,53383.33,32566.67,53416.67
32600,55583.33,32533.33,55500
32616.67,54600,32533.33,54566.67
32616.67,55833.33,32216.67,55600
32633.33,53300,32066.67,53766.67
32633.33,53900,32500,54016.67
32633.33,55116.67,32450,55033.33
32633.33,56350,32483.33,56350
32633.33,56350,32616.67,56483.33
32633.33,56750,32400,56716.67
32650,54250,32500,54016.67
32650,54450,32516.67,54683.33
32666.67,55450,32533.33,55500
32683.33,54633.33,32616.67,54600
32683.33,56883.33,32566.67,56883.33
32683.33,56883.33,32633.33,56750
32700,53966.67,32633.33,53900
32716.67,55600,32600,55583.33
32716.67,57466.67,32683.33,57633.33
32750,53483.33,32583.33,53383.33
32750,53483.33,32666.67,53616.67
32750,53733.33,32666.67,53616.67
32750,54400,32650,54250
32750,54400,32650,54450
32766.67,55433.33,32666.67,55450
32766.67,55633.33,32716.67,55600
32766.67,55633.33,32750,55650
32766.67,57783.33,32750,57750
32766.67,57883.33,32683.33,57633.33
32766.67,57883.33,32766.67,57783.33
32783.33,53833.33,32700,53966.67
32783.33,53833.33,32750,53733.33
32800,55800,32750,55650
32800,55800,32783.33,55900
32800,56416.67,32616.67,56483.33
32800,57050,32533.33,57133.33
32833.33,54766.67,32683.33,54633.33
32833.33,55483.33,32766.67,55433.33
32833.33,56183.33,32616.67,55833.33
32833.33,56433.33,32800,56416.67
32833.33,57716.67,32750,57750
32850,57683.33,32833.33,57716.67
32866.67,55916.67,32783.33,55900
32866.67,56466.67,32816.67,56516.67
32866.67,56466.67,32833.33,56433.33
32883.33,55516.67,32833.33,55483.33
32883.33,56800,32033.33,54566.67
32883.33,56800,32683.33,58133.33
32900,56083.33,32833.33,56183.33
32900,56133.33,32900,56083.33
32916.67,54966.67,32833.33,54766.67
32916.67,57733.33,32850,57683.33
32933.33,55516.67,32883.33,55416.67
32933.33,55516.67,32883.33,55516.67
32933.33,57116.67,32800,57050
32933.33,57650,32716.67,57466.67
32950,54216.67,32933.33,53950
32950,54216.67,32933.33,54266.67
32966.67,55400,32883.33,55416.67
32966.67,55400,32900,55233.33
32983.33,54583.33,32933.33,54266.67
32983.33,58050,32933.33,57650
33000,53633.33,32633.33,53300
33000,55133.33,32900,55233.33
33000,55783.33,32866.67,55916.67
33016.67,53700,33000,53633.33
33016.67,53950,32933.33,53950
33016.67,55050,33000,55133.33
33016.67,56483.33,32816.67,56516.67
33033.33,57000,32933.33,57116.67
33050,54066.67,33016.67,53950
33050,54150,33050,54066.67
33050,56483.33,33016.67,56483.33
33066.67,55850,33000,55783.33
33083.33,56183.33,32900,56133.33
33083.33,56183.33,33083.33,55966.67
33100,55133.33,32916.67,54966.67
33100,55133.33,33016.67,55050
33100,57733.33,32916.67,57733.33
33100,57733.33,33100,57633.33
33116.67,54833.33,33116.67,54816.67
33116.67,55983.33,33083.33,55966.67
33132.5,58295.55,32683.33,58133.33
33133.33,54933.33,33116.67,54833.33
33133.33,57150,33033.33,57000
33150,54150,33050,54150
33166.67,54966.67,33133.33,54933.33
33166.67,57583.33,33100,57633.33
33183.33,55700,33066.67,55850
33183.33,57466.67,33083.33,57433.33
33183.33,57466.67,33166.67,57583.33
33200,53800,33016.67,53700
33200,54750,33116.67,54816.67
33216.67,56683.33,33050,56483.33
33216.67,56683.33,33200,56783.33
33233.33,53850,33200,53800
33233.33,54383.33,33216.67,54383.33
33233.33,57133.33,33133.33,57150
33250,53900,33233.33,53850
33250,53916.67,33250,53900
33250,54016.67,33183.33,53900
33250,54333.33,33150,54150
33250,54333.33,33216.67,54383.33
33250,56016.67,33116.67,55983.33
33250,57333.33,33083.33,57433.33
33250,57333.33,33233.33,57133.33
33255.83,58019.17,32983.33,58050
33266.67,53783.33,33183.33,53900
33266.67,54416.67,33233.33,54383.33
33266.67,55100,33166.67,54966.67
33266.67,55116.67,33266.67,55100
33283.33,53933.33,33250,53916.67
33283.33,53933.33,33250,54016.67
33333.33,54783.33,33200,54750
33333.33,56933.33,33200,56783.33
33333.33,57950,33255.83,58019.17
33350,55633.33,33350,55616.67
33366.67,53666.67,33266.67,53783.33
33366.67,56483.33,33333.33,56466.67
33383.33,55083.33,33266.67,55116.67
33383.33,56416.67,33300,56350
33383.33,56416.67,33333.33,56466.67
33400,54683.33,33333.33,54783.33
33400,58316.67,33132.5,58295.55
33413.05,56500.55,33366.67,56483.33
33416.67,55633.33,33350,55633.33
33416.67,57066.67,33333.33,56933.33
33450,54533.33,33266.67,54416.67
33450,57733.33,33383.33,57550
33466.67,54200,32983.33,54583.33
33466.67,54666.67,33400,54683.33
33466.67,54666.67,33466.67,54650
33466.67,55116.67,33383.33,55083.33
33466.67,55616.67,33416.67,55633.33
33483.33,55150,33466.67,55116.67
33483.33,55150,33466.67,55200
33483.33,55566.67,33183.33,55700
33483.33,55566.67,33350,55616.67
33483.33,56150,33250,56016.67
33500,55216.67,33466.67,55200
33500,56750,33413.05,56500.55
33500,56866.67,33500,56750
33516.67,53783.33,33366.67,53666.67
33516.67,54916.67,33466.67,54200
33516.67,56400,33300,56350
33516.67,56400,33483.33,56483.33
33516.67,57833.33,33333.33,57950
33516.67,57833.33,33450,57733.33
33533.33,54433.33,33450,54533.33
33533.33,54600,33466.67,54650
33533.33,56933.33,33416.67,57066.67
33533.33,56933.33,33533.33,56900
33538.89,56888.61,33533.33,56900
33550,55666.67,33466.67,55616.67
33550,56900,33500,56866.67
33550,56900,33538.89,56888.61
33566.67,53850,33516.67,53783.33
33583.33,57300,33383.33,57550
33583.33,58083.33,33544.17,58197.22
33600,54316.67,33533.33,54433.33
33600,55333.33,33500,55216.67
33600,56350,33483.33,56483.33
33600,57133.33,33583.33,57300
33600,57983.33,33583.33,58083.33
33616.67,57633.33,33583.33,57583.33
33616.67,58283.33,33544.17,58197.22
33650,53800,33566.67,53850
33650,53800,33616.67,53716.67
33650,57533.33,33583.33,57583.33
33666.67,54200,33600,54316.67
33683.33,53550,33616.67,53716.67
33683.33,53550,33683.33,53450
33683.33,57566.67,33650,57533.33
33716.67,54533.33,33533.33,54600
33716.67,54533.33,33683.33,54650
33716.67,58083.33,33600,57983.33
33733.33,54750,33683.33,54650
33733.33,56333.33,33600,56350
33733.33,57833.33,33716.67,58083.33
33750,55283.33,33600,55333.33
33750,56466.67,33600,57133.33
33750,57483.33,33683.33,57566.67
33750,57616.67,33616.67,57633.33
33766.67,58350,33716.67,58266.67
33800,54000,33666.67,54200
33800,58250,33616.67,58283.33
33800,58250,33716.67,58266.67
33816.67,55550,33550,55666.67
33833.33,56300,33733.33,56333.33
33850,55166.67,33750,55283.33
33850,57016.67,33850,56883.33
33850,57683.33,33733.33,57833.33
33866.67,55550,33816.67,55550
33866.67,57000,33850,57016.67
33866.67,57516.67,33816.67,57550
33866.67,57616.67,33816.67,57550
33883.33,53500,33683.33,53450
33883.33,54716.67,33733.33,54750
33883.33,56450,33483.33,56150
33883.33,56450,33750,56466.67
33883.33,57383.33,33750,57483.33
33883.33,57400,33883.33,57383.33
33883.33,57666.67,33850,57683.33
33883.33,57666.67,33866.67,57616.67
33883.33,58416.67,33766.67,58350
33900,55150,33850,55166.67
33900,56833.33,33850,56883.33
33916.67,57783.33,33750,57616.67
33933.33,55266.67,33866.67,55550
33933.33,55266.67,33900,55150
33933.33,56250,33833.33,56300
33933.33,57466.67,33866.67,57516.67
33933.33,57466.67,33883.33,57400
33950,55850,33933.33,55683.33
33950,56750,33900,56833.33
33950,57900,33916.67,57783.33
33950,58233.33,33933.33,58166.67
33966.67,57100,33866.67,57000
33966.67,58283.33,33883.33,58416.67
33983.33,53983.33,33800,54000
33983.33,57900,33950,57900
33983.33,58150,33933.33,58166.67
33983.33,58250,33950,58233.33
33989.17,58285.55,33966.67,58283.33
34000,55666.67,33933.33,55683.33
34000,58250,33983.33,58250
34000,58250,33989.17,58285.55
34033.33,55650,34000,55666.67
34033.33,57833.33,33983.33,57900
34033.33,58133.33,33983.33,58150
34050,54783.33,33883.33,54716.67
34050,55883.33,33950,55850
34050,56200,33933.33,56250
34066.67,53933.33,33983.33,53983.33
34066.67,54500,34033.33,54283.33
34066.67,56383.33,34066.67,56300
34066.67,57350,33966.67,57100
34066.67,57716.67,34016.67,57650
34066.67,57716.67,34033.33,57833.33
34083.33,57383.33,34016.67,57650
34083.33,57383.33,34066.67,57350
34095.55,56214.17,34050,56200
34095.55,56214.17,34066.67,56300
34100,58000,34033.33,58133.33
34116.67,53950,34066.67,53933.33
34133.33,56400,34066.67,56383.33
34152.22,58012.5,34100,58000
34153.05,58176.67,31666.67,57916.67
34153.05,58176.67,33400,58316.67
34166.67,53850,34166.67,53833.33
34166.67,54666.67,34066.67,54500
34166.67,56683.33,33950,56750
34183.33,53783.33,33883.33,53500
34183.33,53783.33,34166.67,53833.33
34183.33,55733.33,34033.33,55650
34183.33,57933.33,34152.22,58012.5
34189.17,56339.45,34133.33,56400
34200,53933.33,34166.67,53850
34200,54750,34050,54783.33
34200,54750,34166.67,54666.67
34200,56216.67,34050,55883.33
34200,56983.33,34150,56950
34200,57866.67,34183.33,57933.33
34200,57866.67,34200,57783.33
34216.67,57000,34200,56983.33
34216.67,57000,34200,57100
34233.33,55733.33,34183.33,55733.33
34250,56683.33,34150,56950
34250,56683.33,34166.67,56683.33
34266.67,53933.33,34200,53933.33
34266.67,54316.67,34033.33,54283.33
34283.33,54983.33,33516.67,54916.67
34283.33,56216.67,34200,56216.67
34283.33,56916.67,34233.33,56866.67
34283.33,57616.67,34200,57783.33
34290.55,56388.89,34189.17,56339.45
34300,55966.67,34250,55933.33
34316.67,57000,34283.33,56916.67
34316.67,57216.67,34300,57233.33
34319.17,56805.28,34233.33,56866.67
34319.17,56805.28,34316.67,56800
34333.33,55450,34283.33,55233.33
34333.33,55650,34233.33,55733.33
34333.33,57233.33,34316.67,57216.67
34333.33,57716.67,34283.33,57616.67
34333.33,57716.67,34300,57733.33
34350,56650,34337.5,56713.61
34350,57300,34300,57233.33
34350,57300,34316.67,57350
34350,57433.33,34266.67,57450
34350,57850,34300,57733.33
34351.67,56398.33,34290.55,56388.89
34366.67,53833.33,34266.67,53933.33
34366.67,54066.67,34116.67,53950
34366.67,54066.67,34366.67,53766.67
34366.67,55516.67,34333.33,55450
34366.67,55516.67,34333.33,55650
34366.67,55783.33,34250,55933.33
34366.67,55783.33,34350,55766.67
34366.67,56400,34351.67,56398.33
34366.67,57050,34316.67,57000
34366.67,57066.67,34366.67,57050
34366.67,57566.67,34266.67,57450
34370,55225,34283.33,55233.33
34370,55225,34366.67,55166.67
34382.78,56541.67,34350,56650
34383.33,56383.33,34366.67,56400
34383.33,56766.67,34316.67,56800
34383.33,56766.67,34337.5,56713.61
34400,53783.33,34366.67,53766.67
34400,53783.33,34366.67,53833.33
34400,56333.33,34383.33,56283.33
34400,56533.33,34382.78,56541.67
34400,57166.67,34333.33,57233.33
34400,57166.67,34366.67,57066.67
34400,57333.33,34316.67,57350
34400,57883.33,34350,57850
34411.67,56402.22,34383.33,56383.33
34416.67,56466.67,34400,56533.33
34416.67,57283.33,34400,57333.33
34419.72,56422.5,34411.67,56402.22
34433.33,55983.33,34300,55966.67
34433.33,57416.67,34350,57433.33
34433.33,57416.67,34416.67,57283.33
34433.33,57716.67,34400,57666.67
34433.33,57716.67,34416.67,57733.33
34433.33,57883.33,34400,57883.33
34442.22,56443.61,34416.67,56466.67
34442.22,56443.61,34419.72,56422.5
34450,55783.33,34350,55766.67
34450,56166.67,34449.72,56079.17
34450,56250,34450,56166.67
34450,56283.33,34383.33,56283.33
34450,56283.33,34450,56250
34450,57600,34366.67,57566.67
34450,57600,34400,57666.67
34453.33,56390.55,34400,56333.33
34466.67,57716.67,34416.67,57733.33
34466.67,57850,34433.33,57883.33
34466.67,57850,34466.67,57716.67
34483.33,54333.33,34266.67,54316.67
34483.33,55650,34450,55783.33
34483.33,55650,34483.33,55633.33
34483.33,56850,34200,57100
34497.5,56037.22,34433.33,55983.33
34497.5,56037.22,34449.72,56079.17
34500,55583.33,34483.33,55633.33
34516.67,55250,34366.67,55166.67
34519.72,56798.89,34483.33,56850
34521.95,56393.61,34453.33,56390.55
34521.95,56393.61,34500,56383.33
34533.33,56300,34522.78,56277.78
34533.33,56316.67,34500,56383.33
34533.33,56316.67,34533.33,56300
34566.67,55700,34500,55583.33
34583.33,55833.33,34550,55883.33
34583.89,56699.45,34519.72,56798.89
34589.45,56252.78,34522.78,56277.78
34600,54550,34483.33,54333.33
34600,56133.33,34550,55883.33
34605,56356.39,34283.33,56216.67
34633.33,55616.67,34566.67,55700
34633.33,56333.33,34600,56133.33
34633.33,56333.33,34605,56356.39
34646.95,56062.78,34633.33,55966.67
34650,55233.33,34516.67,55250
34650,55866.67,34583.33,55833.33
34650,56600,34633.33,56619.17
34650,56716.67,34583.89,56699.45
34650,56750,34650,56716.67
34665,56219.45,34589.45,56252.78
34666.67,54166.67,32633.33,55116.67
34666.67,54166.67,34283.33,54983.33
34666.67,55266.67,34650,55233.33
34666.67,56000,34633.33,55966.67
34683.33,55683.33,34633.33,55616.67
34683.33,56733.33,34633.33,56619.17
34683.33,56733.33,34650,56750
34698.33,56217.5,34665,56219.45
34715.28,56073.33,34646.95,56062.78
34716.67,55533.33,34600,55483.33
34716.67,55533.33,34716.67,55416.67
34716.67,55950,34666.67,56000
34716.67,55950,34700,55900
34726.39,56220,34698.33,56217.5
34733.33,55266.67,34666.67,55266.67
34733.33,55716.67,34683.33,55683.33
34742.22,56098.33,34715.28,56073.33
34742.22,56098.33,34733.61,56036.67
34750,55333.33,34733.33,55266.67
34750,55683.33,34733.33,55716.67
34761.67,56223.61,34726.39,56220
34762.5,56020.55,34650,55866.67
34762.5,56020.55,34733.61,56036.67
34763.33,56385.28,34650,56600
34764.17,56213.89,34761.67,56223.61
34766.67,55750,34700,55900
34766.67,55750,34750,55683.33
34790.28,56350,34763.33,56385.28
34800,54916.67,34600,54550
34800,55233.33,34600,55483.33
34800,55366.67,34716.67,55416.67
34800,55366.67,34750,55333.33
34800,56233.33,34800,56216.67
34801.67,56334.17,34790.28,56350
34801.67,56334.17,34800,56233.33
34803.05,56085.83,34781.11,56053.33
34813.05,56044.72,34781.11,56053.33
34816.67,56100,34803.05,56085.83
34816.67,56183.33,34764.17,56213.89
34828.61,56139.45,34816.67,56100
34833.33,56116.67,34828.61,56139.45
34833.33,56216.67,34800,56216.67
34833.33,56233.33,34833.33,56216.67
34850,56116.67,34833.33,56116.67
34850,56233.33,34833.33,56233.33
34850,56233.33,34850,56216.67
34858.05,56170.83,34816.67,56183.33
34860.28,56052.22,34813.05,56044.72
34866.67,54866.67,34800,54916.67
34866.67,56166.67,34858.05,56170.83
34870.55,56133.61,34850,56116.67
34877.22,56029.72,34850,56083.33
34883.33,56150,34870.55,56133.61
34883.33,56200,34875,56258.89
34883.33,56200,34883.33,56183.33
34883.33,56216.67,34850,56216.67
34883.33,56233.33,34875,56258.89
34883.33,56233.33,34883.33,56216.67
34885.28,56060.55,34860.28,56052.22
34885.28,56060.55,34877.22,56029.72
34900,55283.33,34800,55233.33
34900,55283.33,34900,54950
34900,56100,34850,56083.33
34900,56133.33,34900,56100
34900,56150,34883.33,56150
34900,56183.33,34883.33,56183.33
34905.28,56194.45,34900,56183.33
34908.33,56208.33,34905,56168.33
34908.33,56208.33,34905.28,56194.45
34909.72,56152.22,34900,56150
34909.72,56152.22,34905,56168.33
34922.78,56159.72,34866.67,56166.67
34922.78,56159.72,34900,56133.33
34966.67,54950,34866.67,54866.67
34966.67,54950,34900,54950
